branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.2956,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,520
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.9679,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,515
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.9616,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,508
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.3677,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,514
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,35.5339,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,510
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,33.6183,16384,2529217,0,23,0,5,0,57,23,2529219,2529194,16385,10,0,625
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,34.6137,16384,2529205,0,11,0,5,0,79,11,2529209,2529194,16385,7,0,640
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,33.7718,16384,2529200,0,6,0,3,0,19,6,2529200,2529194,16384,3,0,628
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,34.2144,16384,2529194,0,0,0,0,0,0,0,2529194,2529194,16384,0,0,583
master,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,34.5157,16384,2529202,0,8,0,5,0,70,8,2529201,2529194,16384,7,0,661
SIMD,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,37.1318,16384,2529196,0,2,0,9,0,171,2,2529203,2529194,16384,0,7,535
SIMD,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,37.2209,16384,2529196,0,2,0,9,0,171,2,2529203,2529194,16384,0,7,531
SIMD,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,37.2907,16384,2529196,0,2,0,9,0,171,2,2529203,2529194,16384,0,7,552
SIMD,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,36.9278,16384,2529196,0,2,0,9,0,171,2,2529203,2529194,16384,0,7,538
SIMD,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,3,multiset,3,,asynchronous,32,37.1115,16384,2529196,0,2,0,9,0,171,2,2529203,2529194,16384,0,7,546
SIMD,epidemic,"./epidemic_sim-mmodel_100k_ba.dat",6000,6,multiset,6,,asynchronous,32,35.5899,16384,2529211,0,17,0,15,0,253,17,2529220,2529194,16384,15,7,699
