branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,178.442,16384,8520427,0,8,0,2,0,9,8,8520430,8520419,16385,5,0,918
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,177.25,16384,8520624,0,205,0,35,0,175,205,8520621,8520419,16386,37,0,1133
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,177.904,16384,8520651,0,232,0,36,6,193,232,8520647,8520419,16387,49,0,1046
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,176.977,16384,8520939,0,520,0,54,5,253,520,8520958,8520419,16392,64,0,949
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.906,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,549
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.816,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,545
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.91,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,570
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.42,16384,8520422,0,3,0,3,0,42,3,8520423,8520419,16384,3,0,574
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,128.945,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,560
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,116.025,16384,8521510,0,1091,0,141,5,2327,1091,8521450,8520419,16387,163,0,863
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,118.926,16384,8522826,0,2407,0,186,39,4852,2407,8522792,8520419,16395,232,2,989
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,116.232,16384,8523165,0,2746,0,289,23,5791,2746,8523094,8520419,16390,333,1,942
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,112.654,16384,8520928,0,509,0,119,1,2191,509,8520915,8520419,16389,149,0,781
master,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,116.582,16384,8520889,0,470,0,100,0,1727,470,8520879,8520419,16388,112,0,771
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,180.241,16384,8520637,0,218,0,62,0,291,218,8520652,8520419,16386,41,20,1137
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,179.903,16384,8520808,0,389,0,80,1,368,389,8520805,8520419,16387,68,20,1354
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,183.981,16384,8520708,0,289,0,64,6,335,289,8520717,8520419,16387,54,20,956
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,135.796,16384,8520427,0,8,0,23,0,372,8,8520442,8520419,16384,4,20,621
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,133.96,16384,8520427,0,8,0,23,0,372,8,8520442,8520419,16384,0,20,537
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,135.839,16384,8520427,0,8,0,23,0,372,8,8520442,8520419,16384,0,20,557
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,134.946,16384,8520427,0,8,0,23,0,372,8,8520442,8520419,16384,0,20,618
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,135.236,16384,8520427,0,8,0,23,0,372,8,8520442,8520419,16384,0,20,571
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,121.526,16384,8520886,0,467,0,104,7,2049,467,8520893,8520419,16387,100,20,782
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,120.955,16384,8521603,0,1184,0,165,19,3127,1184,8521610,8520419,16390,178,22,886
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,123.027,16384,8521589,0,1170,0,181,10,3603,1170,8521597,8520419,16393,182,20,952
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,121.288,16384,8523383,0,2964,0,249,44,5289,2964,8523321,8520419,16388,287,22,939
SIMD,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,32,121.125,16384,8521673,0,1254,0,153,11,2901,1254,8521654,8520419,16386,167,20,911
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,174.5,16384,7997413,0,105,0,4,0,10,105,7973611,7973514,16386,3,0,1035
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,168.299,16384,6976706,0,614,0,14,0,69,567,6930096,6929507,16395,5,30,781
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,170.156,16384,7291241,0,1044,0,18,0,90,992,7240525,7239541,16398,4,10,867
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,177.433,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,717
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,10,164.716,16384,6583001,0,757,0,12,0,50,701,6536069,6535378,16393,6,0,1094
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,143.893,16384,5574458,0,10612,0,55,23,389,9850,5495033,5485364,16444,16,67,1292
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,143.113,16384,4737618,0,11314,0,52,32,398,10654,4654448,4643930,16456,15,130,1457
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,142.945,16384,4911760,0,13715,0,58,92,717,12993,4859487,4846834,16465,11,223,1147
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,142.716,16384,5451409,0,11648,0,73,34,460,11172,5393614,5382747,16473,14,369,810
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,6,multiset,6,,asynchronous,10,141.017,16384,4680293,0,9802,0,81,26,532,9094,4585900,4576855,16470,17,110,903
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,125.722,16384,7319314,0,3167,0,36,0,764,3088,7293118,7290147,16417,5,22,695
relaxedCompare,epidemic,"./epidemic_sim-mmodel_10k_ba.dat",20000,3,multiset,3,,asynchronous,32,130.181,16384,8520419,0,0,0,0,0,0,0,8520419,8520419,16384,0,0,528
