branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,14.6506,10000,6250086,0,18959,0,3488,395,65898,18959,6250657,6231127,10172,106798,5,253
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,14.4313,10000,6239018,0,7891,0,1898,157,32897,7891,6240167,6231127,10239,104848,0,246
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,14.7377,10000,6243493,0,12366,0,2516,272,48901,12366,6244536,6231127,10212,105644,2,250
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,14.6381,10000,6240591,0,9464,0,2219,206,40584,9464,6241906,6231127,10201,105209,1,247
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,15.3535,10000,6269739,0,38612,0,5172,981,108930,38612,6271116,6231127,10255,109339,8,253
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,13.403,10000,6316371,0,85244,0,10282,2217,219650,85244,6318862,6231127,10335,116508,62,286
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,12.9552,10000,6261364,0,30237,0,6031,781,111764,30237,6266384,6231127,10637,109457,39,266
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,13.3611,10000,6295549,0,64422,0,8565,1687,181046,64422,6297781,6231127,10379,113771,72,278
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,13.349,10000,6315462,0,84335,0,10895,2492,235785,84335,6324300,6231127,10538,117225,90,288
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,13.3857,10000,6337034,0,105907,0,12542,2900,277192,105907,6343663,6231127,10497,119529,80,288
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,26.4678,10000,8637114,0,2405987,0,125891,301717,7513320,2405987,8666735,6231127,11635,0,0,940
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,26.1284,10000,8554441,0,2323314,0,124496,292084,7258913,2323314,8582968,6231127,11722,0,0,932
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,26.3541,10000,8657797,0,2426670,0,126795,301640,7517739,2426670,8680567,6231127,11390,0,0,939
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,26.4358,10000,8664033,0,2432906,0,127344,303465,7558914,2432906,8699640,6231127,12076,0,0,939
UnifiedMainBranch,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,25.5778,10000,8579295,0,2348168,0,124401,292562,7263358,2348168,8586667,6231127,10327,0,0,947
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,24.1588,10000,9407565,0,3176438,0,141508,388803,9423497,3176438,9423588,6231127,10733,0,0,1023
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,23.2587,10000,9093820,0,2862693,0,137390,349378,8587408,2862693,9111817,6231127,10943,0,0,993
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,23.7946,10000,9200621,0,2969494,0,141450,360615,8937187,2969493,9235820,6231128,11907,0,0,1001
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,24.0775,10000,9246474,0,3015347,0,142797,364367,9081153,3015347,9276178,6231127,11358,0,0,996
UnifiedMainBranch,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,24.1712,10000,9323745,0,3092618,0,141680,380145,9263196,3092618,9361423,6231126,11364,0,0,1003
