branch,Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Type,Schedule_Queue_Count,is_LP_Migration_ON,GVT_Method,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Events_for_Starved_Objects,Sched_Event_Swaps_Success,Sched_Event_Swaps_Failed,Average_Memory_Usage_(MB)
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,16.8064,10000,6240672,0,9545,0,2305,176,40211,9545,6241063,6231127,10192,105227,9,242
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,16.3458,10000,6240063,0,8936,0,2031,152,36930,8936,6240419,6231127,10183,104979,10,238
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,14.5594,10000,6240168,0,9041,0,2380,177,39983,9041,6240878,6231127,10183,105363,8,251
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,14.6281,10000,6237322,0,6195,0,1693,145,30964,6195,6238532,6231127,10198,104658,2,247
master,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,16.5288,10000,6244762,0,13635,0,2894,362,55597,13635,6247800,6231127,10424,105878,10,246
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,14.8284,10000,6291708,0,60581,0,8200,1545,169790,60581,6293365,6231127,10263,113213,101,259
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,14.815,10000,6327574,0,96447,0,11069,2683,243278,96447,6330355,6231127,10297,117900,71,269
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,14.7958,10000,6298946,0,67819,0,9365,1722,191103,67819,6300727,6231127,10219,114722,76,262
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,13.6807,10000,6313028,0,81901,0,10527,2479,230658,81901,6323731,6231127,10881,116467,96,280
master,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,12.947,10000,6285427,0,54300,0,8377,1362,169721,54300,6289237,6231127,10432,112923,60,279
SIMD,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,16.2057,10000,6332514,0,101387,0,8339,3403,224955,101387,6345095,6231127,10811,116172,95,332
SIMD,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,15.9044,10000,6311231,0,80104,0,7524,2500,190602,80104,6317145,6231127,10459,113966,92,320
SIMD,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,16.3822,10000,6337066,0,105939,0,8859,3773,240902,105939,6353657,6231127,11146,116846,91,336
SIMD,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,16.136,10000,6295904,0,64777,0,5698,2402,158247,64777,6308857,6231127,10881,111678,88,314
SIMD,traffic,"./traffic_sim",10000,3,multiset,3,,asynchronous,32,15.7277,10000,6259518,0,28391,0,4361,918,93421,28391,6265945,6231127,10529,108073,89,314
SIMD,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,14.7059,10000,6538979,0,307852,0,21996,9499,608754,307852,6551185,6231127,10690,140472,293,382
SIMD,traffic,"./traffic_sim",10000,6,multiset,6,,asynchronous,32,14.3382,10000,6482898,0,251771,0,19846,7956,532581,251771,6503024,6231127,11196,135270,174,367
